product_id,ordered_at,quantity_ordered
3998909,9/18/2018 17:51,1
3998909,9/18/2018 12:52,1
3998909,9/18/2018 11:33,1
3998909,9/18/2018 18:47,1
3998909,9/18/2018 17:36,1
3998909,9/17/2018 19:09,1
3998909,9/18/2018 16:02,1
3998909,9/17/2018 22:29,1
3998909,9/18/2018 19:46,2
3998909,9/18/2018 11:02,1
3998909,9/18/2018 17:43,1
3998909,9/18/2018 22:11,1
3998909,9/17/2018 17:34,1
3954203,9/11/2018 13:32,1
3954203,9/11/2018 17:00,1
3954203,9/11/2018 18:26,1
3954203,9/11/2018 14:13,1
3954203,9/11/2018 15:10,1
3954203,9/12/2018 19:16,1
3954203,9/11/2018 14:58,1
3954203,9/11/2018 12:26,1
3954203,9/11/2018 16:00,1
3954203,9/11/2018 15:27,1
3998909,9/13/2018 18:58,1
3954203,9/11/2018 11:11,1
3954203,9/11/2018 11:11,1
4085861,9/11/2018 6:53,1
4085861,9/11/2018 8:24,1
4085861,9/11/2018 6:26,1
4085861,9/16/2018 11:23,1
4085861,9/15/2018 11:59,1
4085861,9/16/2018 18:35,1
4085861,9/16/2018 9:58,2
4085861,9/15/2018 8:28,1
4085861,9/15/2018 11:22,1
4085861,9/15/2018 17:40,1
4085861,9/16/2018 16:56,1
4085861,9/16/2018 19:25,1
4085861,9/15/2018 13:10,1
4085861,9/16/2018 23:19,1
4085861,9/16/2018 3:01,1
4085861,9/15/2018 22:10,1
4085861,9/16/2018 7:42,1
4085861,9/16/2018 15:54,1
4085861,9/16/2018 18:25,1
4085861,9/16/2018 22:48,1
4085861,9/15/2018 19:35,1
4085861,9/15/2018 16:25,1
4085861,9/16/2018 16:55,1
4085861,9/16/2018 21:25,1
4085861,9/16/2018 9:31,1
4085861,9/16/2018 15:32,1
4085861,9/15/2018 18:08,1
4085861,9/16/2018 22:36,1
4085861,9/15/2018 21:37,1
4085861,9/15/2018 18:13,1
4085861,9/15/2018 14:14,1
4085861,9/15/2018 11:52,1
4085861,9/15/2018 21:44,1
4085861,9/16/2018 13:36,1
4085861,9/15/2018 7:56,1
4085861,9/15/2018 11:53,1
4085861,9/17/2018 1:46,1
4085861,9/15/2018 8:18,1
4085861,9/16/2018 20:40,1
4085861,9/15/2018 21:05,1
4085861,9/18/2018 14:40,1
4085861,9/18/2018 20:23,1
4085861,9/18/2018 6:53,1
4085861,9/18/2018 6:47,1
4085861,9/18/2018 8:29,1
4085861,9/18/2018 10:17,1
4085861,9/18/2018 15:25,1
4085861,9/18/2018 12:24,1
4085861,9/18/2018 7:01,1
4085861,9/18/2018 18:52,1
4085861,9/18/2018 10:34,1
4085861,9/18/2018 20:43,1
4085861,9/18/2018 14:46,1
4085861,9/18/2018 20:54,1
4085861,9/18/2018 10:21,1
4085861,9/18/2018 10:28,1
4085861,9/18/2018 15:52,1
4085861,9/18/2018 15:56,1
3998909,9/12/2018 8:28,1
3998909,9/12/2018 19:58,1
3954203,9/11/2018 1:43,1
3954203,9/18/2018 21:26,1
4085861,9/17/2018 13:45,1
4085861,9/17/2018 10:00,1
4085861,9/11/2018 17:12,1
4085861,9/17/2018 13:44,1
4085861,9/17/2018 10:30,1
4085861,9/12/2018 1:10,1
4085861,9/17/2018 21:48,1
4085861,9/17/2018 23:06,1
4085861,9/17/2018 10:24,1
4085861,9/11/2018 19:18,1
4085861,9/11/2018 13:34,1
4085861,9/17/2018 10:03,1
4085861,9/11/2018 12:47,1
4085861,9/17/2018 10:18,1
4085861,9/11/2018 19:57,1
4085861,9/17/2018 10:14,1
4085861,9/11/2018 18:13,1
4085861,9/17/2018 23:13,1
4085861,9/17/2018 11:51,1
4085861,9/11/2018 11:47,2
4085861,9/11/2018 20:52,1
4085861,9/17/2018 10:53,1
4085861,9/17/2018 14:14,1
4085861,9/17/2018 12:39,1
4085861,9/11/2018 11:34,1
4085861,9/11/2018 11:06,1
4085861,9/11/2018 22:26,1
4085861,9/17/2018 17:25,1
4085861,9/11/2018 16:48,1
4085861,9/17/2018 10:38,1
4085861,9/17/2018 10:49,1
4085861,9/17/2018 22:18,1
4085861,9/17/2018 21:48,1
4085861,9/11/2018 16:59,1
4085861,9/17/2018 16:52,1
4085861,9/11/2018 9:30,1
4085861,9/11/2018 22:14,1
4085861,9/17/2018 20:39,1
4085861,9/17/2018 7:56,1
4085861,9/17/2018 15:05,1
4085861,9/17/2018 22:22,1
4085861,9/12/2018 21:43,1
4085861,9/12/2018 7:30,1
4085861,9/12/2018 13:45,1
4085861,9/12/2018 11:29,1
4085861,9/12/2018 20:17,1
4085861,9/12/2018 20:32,1
4085861,9/12/2018 12:04,1
4085861,9/12/2018 11:10,1
4085861,9/12/2018 15:34,1
4085861,9/12/2018 11:18,1
4085861,9/12/2018 17:55,1
4085861,9/12/2018 17:24,1
4085861,9/12/2018 13:03,1
4085861,9/14/2018 14:50,1
4085861,9/14/2018 15:38,1
4085861,9/13/2018 12:56,1
4085861,9/13/2018 21:08,1
4085861,9/13/2018 8:12,1
4085861,9/13/2018 8:05,1
4085861,9/13/2018 11:52,1
4085861,9/13/2018 17:42,1
4085861,9/14/2018 22:29,1
4085861,9/14/2018 7:30,1
4085861,9/14/2018 9:19,1
4085861,9/13/2018 19:01,1
4085861,9/14/2018 20:00,1
4085861,9/13/2018 16:33,1
4085861,9/14/2018 19:32,1
4085861,9/13/2018 14:56,1
4085861,9/14/2018 12:34,1
4085861,9/13/2018 14:22,1
4085861,9/13/2018 22:05,1
4085861,9/13/2018 19:07,1
4085861,9/13/2018 11:57,1
4085861,9/14/2018 18:04,1
4085861,9/14/2018 19:02,1
4085861,9/14/2018 9:56,1
4085861,9/13/2018 19:03,1
4085861,9/13/2018 19:24,1
4085861,9/14/2018 13:17,1
4085861,9/13/2018 11:55,1
4085861,9/13/2018 23:29,1
64,9/11/2018 19:32,1
64,9/14/2018 20:10,1
64,9/12/2018 16:00,1
64,9/12/2018 13:23,1
